    RA(°)      Dec      Pos      Distance(kpc)  
      18.4253     -75.4193       148.99333       2.8315540
      18.4647     -72.9541       88.275509       1.7104522
      18.4699     -72.3711       70.165289       1.8794602
      18.5429     -72.9612       88.607401       1.7325400
      18.9146     -73.5193       106.55358       1.8599821
      19.0114     -73.4575       104.52158       1.8770512
      19.0190     -72.1307       66.258618       2.1419686
      19.2700     -72.7239       82.542678       1.9892534
      19.4819     -72.8564       86.656974       2.0239065
      19.7471     -72.4115       75.526884       2.2222575
      19.7844     -72.9612       89.933678       2.0974260
      20.0112     -72.8554       87.358335       2.1794304
      20.1171     -72.5006       78.643791       2.2977395
      20.1465     -72.6131       81.434724       2.2728578
      20.4180     -72.9797       90.988067       2.2814790
      20.4852     -72.5655       80.994959       2.3845945
      20.6411     -72.9381       90.153386       2.3521449
      20.8169     -72.9806       91.332110       2.3986274
      21.1593     -72.9167       90.133131       2.5073662
      21.1742     -73.4060       101.48361       2.4917159
      21.2504     -72.7806       87.164349       2.5568569
      21.3542     -73.0562       93.455708       2.5489267
      21.4117     -72.2949       77.239565       2.7403031
      21.4415     -72.8724       89.415615       2.5969123
      21.5437     -73.3802       100.77785       2.5970021
      21.7789     -73.3544       100.16270       2.6641399
      21.7931     -72.8821       89.973994       2.6987590
      21.9958     -72.9054       90.651914       2.7548395
      22.0335     -72.6215       84.907942       2.8214433
      22.2422     -72.3391       79.849576       2.9641657
      22.3199     -73.6920       106.97961       2.8463378
      22.4277     -73.0572       94.065443       2.8637053
      22.9856     -72.4002       82.292237       3.1605535
      23.0563     -73.0450       94.172553       3.0491603
      23.1701     -72.7672       89.103337       3.1233729
      23.4180     -72.0985       78.064971       3.3895589
      23.5805     -73.0350       94.280903       3.2038830
     0.117761     -75.5512      -131.90686       4.2261728
     0.429108     -75.5867      -132.87064       4.1767294
     0.610027     -75.0250      -126.01604       3.8710476
     0.632605     -75.2103      -128.52821       3.9468578
      1.14714     -75.8117      -136.84260       4.1521926
      1.25016     -76.0673      -139.84423       4.2885408
      1.39979     -75.4521      -133.05250       3.8966050
      1.40713     -75.9471      -138.87849       4.1830381
      1.50491     -75.7694      -137.08881       4.0552987
      1.60928     -75.3958      -132.75802       3.8212448
      1.65325     -75.4838      -133.96513       3.8599158
      1.86953     -75.2179      -130.93745       3.6708046
      1.87803     -74.7329      -123.91668       3.4457035
      1.94608     -75.4899      -134.65888       3.8017228
      1.97234     -74.9521      -127.38982       3.5179135
      2.07113     -75.6244      -136.59209       3.8546270
      2.18781     -74.5750      -121.96013       3.3076785
      2.19317     -74.6920      -123.84654       3.3522339
      2.19629     -74.8269      -125.95083       3.4087076
      2.27809     -74.9688      -128.24626       3.4547066
      2.30332     -74.6380      -123.18549       3.3034679
      2.61379     -75.5137      -136.46466       3.6782895
      2.78136     -75.7406      -139.62486       3.7878907
      2.95354     -75.0512      -130.94901       3.3432185
      2.98084     -75.5671      -138.02067       3.6380027
      3.10276     -74.1229      -115.51658       2.9219692
      3.22517     -76.0074      -143.70288       3.8885457
      3.31329     -75.8262      -141.94186       3.7463175
      3.52874     -75.2476      -135.20685       3.3306466
      3.59319     -75.5458      -139.33514       3.5054454
      3.68006     -75.4886      -138.84331       3.4512552
      3.77543     -75.8283      -143.18820       3.6651605
      3.79252     -75.3429      -137.23012       3.3357073
      3.85258     -74.8484      -130.03119       3.0350113
      3.87308     -74.3455      -121.18340       2.7976619
      3.89808     -75.7266      -142.35843       3.5716455
      4.10657     -74.9112      -131.72656       3.0126274
      4.17356     -74.8073      -130.21114       2.9409680
      4.22211     -74.0943      -116.87678       2.6179571
      4.22724     -74.3265      -121.60515       2.7012555
      4.27564     -73.5588      -105.07602       2.4818464
      4.28363     -74.8029      -130.44221       2.9139532
      4.31672     -74.9681      -133.22593       2.9995139
      4.36786     -75.2540      -137.64398       3.1645626
      4.41487     -74.9245      -132.81481       2.9531041
      4.46175     -74.9155      -132.80737       2.9378145
      4.51064     -74.0245      -115.94936       2.5197039
      4.57115     -75.8895      -146.11786       3.5746087
      4.57523     -75.9665      -146.94727       3.6324561
      4.60569     -73.5173      -104.35978       2.3830355
      4.66293     -74.5427      -126.88194       2.6922801
      4.73736     -74.4607      -125.52266       2.6350584
      4.81950     -73.9254      -114.32774       2.4074820
      4.82641     -73.1483      -95.302132       2.3045520
      4.83362     -75.4238      -141.38481       3.1898868
      4.85403     -74.6084      -128.65602       2.6812029
      4.86491     -74.1071      -118.51831       2.4550154
      4.95254     -73.6115      -107.00988       2.2982832
      4.97142     -74.4405      -125.78390       2.5695084
      4.99439     -74.9799      -135.48395       2.8641544
      5.00762     -73.7252      -109.89230       2.3049824
      5.01533     -74.7951      -132.48810       2.7483098
      5.07436     -74.2784      -122.74988       2.4703242
      5.08461     -75.1282      -138.06471       2.9411637
      5.12486     -72.9888      -91.074868       2.2286835
      5.16134     -74.5017      -127.55363       2.5550623
      5.19957     -73.8301      -112.79464       2.2782162
      5.25866     -73.3874      -101.53518       2.1833178
      5.28914     -73.8883      -114.39354       2.2707309
      5.30460     -74.5248      -128.45112       2.5338398
      5.30713     -74.4623      -127.22229       2.5009306
      5.33571     -73.4075      -102.11843       2.1628362
      5.39708     -74.1227      -120.19780       2.3246026
      5.40116     -74.9379      -136.16525       2.7543111
      5.42232     -74.5261      -128.85454       2.5074950
      5.43193     -73.7542      -111.32987       2.1950523
      5.43439     -71.4764      -57.362426       2.7568027
      5.45547     -74.1896      -121.87747       2.3374830
      5.50468     -74.3310      -125.12294       2.3893934
      5.52430     -74.0822      -119.60267       2.2762329
      5.55671     -73.9079      -115.46860       2.2055180
      5.55808     -74.1186      -120.54399       2.2821196
      5.60012     -73.0210      -91.565351       2.0857979
      5.61890     -74.4715      -128.41371       2.4333068
      5.62988     -73.5861      -107.23027       2.1035389
      5.66746     -73.9360      -116.43384       2.1855635
      5.66974     -75.0674      -139.16395       2.7866259
      5.68960     -75.0818      -139.45650       2.7926854
      5.69080     -74.3503      -126.12610       2.3543030
      5.70361     -74.2505      -123.98401       2.3033532
      5.72883     -73.6621      -109.43989       2.0913944
      5.74251     -73.3619      -101.13196       2.0418620
      5.74493     -70.9687      -48.643429       3.0394235
      5.77066     -74.5720      -130.93481       2.4542429
      5.78727     -73.3900      -101.95954       2.0314105
      5.83310     -71.7008      -59.518286       2.5164273
      5.85636     -74.0939      -120.82074       2.1965972
      5.86301     -69.9633      -37.951658       3.8328184
      5.89388     -73.7084      -111.00080       2.0568913
      5.92063     -73.5691      -107.18437       2.0187407
      5.92241     -73.8965      -116.07080       2.1049359
      5.92511     -74.7329      -134.52456       2.5168816
      5.97702     -73.7531      -112.38962       2.0460348
      5.98394     -73.9906      -118.64682       2.1228246
      6.02553     -70.3800      -40.826199       3.4492245
      6.04202     -73.4033      -102.55668       1.9595879
      6.04986     -74.9083      -138.04285       2.6051159
      6.05606     -74.5017      -130.56686       2.3507326
      6.05629     -75.2768      -143.63837       2.8650298
      6.07479     -71.2970      -51.652775       2.7249969
      6.16711     -73.7295      -112.15774       1.9877810
      6.17702     -73.7587      -112.99630       1.9933971
      6.22498     -73.3023      -99.667322       1.8981852
      6.23528     -74.0223      -120.20120       2.0710199
      6.23659     -71.1669      -48.962576       2.7828270
      6.24076     -73.8465      -115.57500       2.0038600
      6.26146     -73.6414      -109.84557       1.9391403
      6.27163     -70.8984      -45.249388       2.9801738
      6.30385     -73.2058      -96.730556       1.8717378
      6.31691     -74.4474      -130.42687       2.2615443
      6.32087     -71.4314      -52.568590       2.5734440
      6.32696     -71.6687      -56.671341       2.4132007
      6.33498     -71.8041      -59.235571       2.3268059
      6.34059     -74.4861      -131.32896       2.2785549
      6.37624     -73.7472      -113.15011       1.9361360
      6.38681     -69.6197      -33.155152       4.0460870
      6.40515     -73.9262      -118.20664       1.9893559
      6.41258     -69.7201      -33.711619       3.9518565
      6.43466     -73.5945      -108.80105       1.8802341
      6.44073     -73.8356      -115.82144       1.9471920
      6.44422     -74.3610      -129.04840       2.1843403
      6.44623     -74.0944      -122.73128       2.0493715
      6.44701     -72.7779      -83.411387       1.8745917
      6.46515     -74.8360      -138.47602       2.4749103
      6.46650     -73.6353      -110.08896       1.8810284
      6.46955     -71.8616      -59.773000       2.2581782
      6.47260     -73.3840      -102.38435       1.8338627
      6.47888     -74.2211      -125.95992       2.1023201
      6.51629     -73.6919      -111.88271       1.8822130
      6.53529     -73.5687      -108.21246       1.8465217
      6.58001     -74.9683      -141.15298       2.5457713
      6.58070     -72.2339      -67.810990       2.0284573
      6.60409     -73.7481      -113.75876       1.8749617
      6.62924     -71.5408      -52.862234       2.4257028
      6.64280     -74.7236      -137.22146       2.3639196
      6.66500     -71.3695      -49.821799       2.5386272
      6.66520     -71.4311      -50.815074       2.4942862
      6.67252     -75.0108      -142.21501       2.5597528
      6.67526     -74.0121      -121.39963       1.9556254
      6.69921     -70.6482      -40.240216       3.0972595
      6.70661     -72.4349      -72.666513       1.9059835
      6.72393     -74.8884      -140.45937       2.4619835
      6.74572     -73.1110      -93.643273       1.7435335
      6.75404     -72.4977      -74.283362       1.8686441
      6.75550     -73.9575      -120.19887       1.9119694
      6.76667     -73.8041      -115.86818       1.8500893
      6.76847     -73.1160      -93.801469       1.7366909
      6.78399     -73.8991      -118.66389       1.8808968
      6.79029     -74.3997      -131.31865       2.1286849
      6.79408     -75.1004      -144.09210       2.6050105
      6.80558     -73.5916      -109.47711       1.7765575
      6.81327     -71.9416      -59.827474       2.1233802
