    RA(°)      Dec      Pos      Distance(kpc)  
      11.7605     -71.9074      -13.682824       1.2241664
      11.7779     -71.3744      -9.5976472       1.7525191
      11.7850     -71.9178      -13.438987       1.2122053
      11.7887     -71.7206      -11.623409       1.4071144
      11.7931     -70.9985      -7.9114476       2.1280443
      11.7937     -69.8319      -5.3892603       3.3009540
      11.7941     -72.7216      -36.018634      0.45377710
      11.8080     -73.2156      -117.33463      0.28748610
      11.8083     -70.9811      -7.7213743       2.1448449
      11.8129     -72.2342      -17.338033      0.90041429
      11.8165     -73.5051      -149.63462      0.49189028
      11.8205     -69.7912      -5.1736421       3.3412389
      11.8282     -71.0910      -7.9137648       2.0338549
      11.8362     -75.0977      -173.82064       2.0451703
      11.8370     -71.9390      -12.896470       1.1877528
      11.8430     -74.1621      -167.97819       1.1124488
      11.8469     -70.5488      -6.2693346       2.5778117
      11.8520     -70.9582      -7.2689267       2.1662278
      11.8573     -75.2176      -174.35418       2.1648322
      11.8640     -73.7004      -159.50570      0.66360366
      11.8714     -73.6856      -159.19850      0.64887802
      11.8751     -72.7978      -39.749426      0.37767835
      11.8791     -71.2493      -8.0163154       1.8731429
      11.8847     -75.8597      -175.97564       2.8098622
      11.8902     -74.0786      -167.64423       1.0273372
      11.8963     -74.3796      -170.70112       1.3250689
      11.8974     -71.6069      -9.5235667       1.5144920
      11.8983     -71.5512      -9.1995648       1.5700386
      11.8990     -72.2502      -15.977968      0.87763319
      11.8999     -70.8399      -6.5347438       2.2833140
      11.8999     -71.6941      -10.031704       1.4273657
      11.9040     -72.0417      -12.967386       1.0819029
      11.9189     -71.3936      -8.2048789       1.7268580
      11.9268     -74.0962      -168.40955       1.0424570
      11.9297     -72.8172      -39.696143      0.35217831
      11.9504     -73.7173      -161.98169      0.67118910
      11.9505     -72.9895      -65.871452      0.23731935
      11.9513     -71.9068      -10.918242       1.2128129
      11.9513     -73.8910      -165.84749      0.83926793
      11.9531     -71.9782      -11.532893       1.1417246
      11.9578     -71.7713      -9.7996792       1.3473677
      11.9634     -73.6186      -159.14833      0.57629250
      11.9748     -73.4004      -147.26278      0.37815884
      11.9776     -71.7959      -9.7012493       1.3219130
      11.9830     -74.3282      -171.34235       1.2698650
      11.9964     -73.3414      -142.40426      0.32611215
      12.0155     -71.5402      -7.7918195       1.5760094
      12.0306     -70.5280      -4.8637630       2.5934422
      12.0379     -72.0469      -10.840619       1.0687152
      12.0410     -70.9278      -5.5563820       2.1905451
      12.0466     -71.0974      -5.9235070       2.0196822
      12.0556     -71.1244      -5.9124413       1.9922479
      12.0678     -73.6949      -164.15846      0.63956471
      12.0684     -74.4465      -173.08978       1.3846729
