       1232292.7       69212.449     0.850000
       940740.78       60473.106      1.07093
       1022375.3       63042.366      1.22591
       886317.76       58697.826      1.34929
       730823.42       53300.777      1.45348
       839669.46       57132.270      1.54455
       691949.83       51863.833      1.62599
       734710.77       53442.346      1.70000
       606427.94       48553.093      1.76807
       750260.21       54004.910      1.83127
       695837.19       52009.314      1.89038
       633639.45       49630.471      1.94601
       606427.94       48553.093      1.99863
       567554.35       46971.133      2.04862
       633639.45       49630.471      2.09628
       493694.54       43808.305      2.14187
       548117.56       46159.825      2.18559
       544230.20       45995.849      2.22763
       470370.39       42760.944      2.26814
       423722.09       40585.216      2.30726
       427609.44       40770.961      2.34509
       470370.39       42760.944      2.38173
       474257.75       42937.277      2.41729
       493694.54       43808.305      2.45182
       466483.03       42583.881      2.48542
       435384.16       41139.935      2.51812
       342087.56       36466.657      2.55000
       404285.29       39643.435      2.58110
       419834.73       40398.614      2.61147
       509243.98       44492.853      2.64115
       349862.27       36878.720      2.67017
       419834.73       40398.614      2.69858
       357636.99       37286.235      2.72640
       342087.56       36466.657      2.75367
       369299.07       37889.286      2.78041
       400397.93       39452.380      2.80664
       412060.01       40022.807      2.83239
       373186.42       38088.181      2.85768
       338200.20       36258.868      2.88253
       272115.10       32523.975      2.90696
       330425.48       35839.675      2.93098
       314876.05       34986.227      2.95462
       314876.05       34986.227      2.97789
       314876.05       34986.227      3.00080
       256565.67       31581.052      3.02336
       248790.95       31098.869      3.04559
       299326.61       34111.433      3.06750
       318763.40       35201.531      3.08911
       276002.46       32755.464      3.11041
       272115.10       32523.975      3.13143
       244903.59       30854.952      3.15217
       256565.67       31581.052      3.17263
       268227.74       32290.824      3.19284
       260453.03       31819.400      3.21280
       186593.21       26932.410      3.23251
       256565.67       31581.052      3.25198
       225466.80       29605.241      3.27123
       283777.18       33213.605      3.29025
       241016.23       30609.091      3.30905
       209917.36       28566.135      3.32764
       252678.31       31340.887      3.34602
       241016.23       30609.091      3.36421
       221579.44       29348.913      3.38220
       171043.78       25785.820      3.40000
       213804.72       28829.422      3.41762
       198255.29       27761.293      3.43505
       209917.36       28566.135      3.45232
       209917.36       28566.135      3.46941
       233241.52       30111.351      3.48633
       159381.70       24891.240      3.50309
       163269.06       25192.962      3.51970
       136057.55       22997.924      3.53614
       190480.57       27211.510      3.55244
       202142.65       28032.141      3.56859
       202142.65       28032.141      3.58459
       202142.65       28032.141      3.60045
       186593.21       26932.410      3.61617
       159381.70       24891.240      3.63176
       198255.29       27761.293      3.64721
       167156.42       25491.114      3.66254
       171043.78       25785.820      3.67774
       206030.01       28300.398      3.69281
       143832.27       23645.880      3.70776
       225466.80       29605.241      3.72259
       194367.93       27487.776      3.73731
       186593.21       26932.410      3.75190
       128282.83       22331.175      3.76639
       186593.21       26932.410      3.78077
       139944.91       23324.152      3.79503
       151606.99       24276.547      3.80919
       143832.27       23645.880      3.82325
       143832.27       23645.880      3.83720
       163269.06       25192.962      3.85106
       112733.40       20934.066      3.86481
       147719.63       23963.287      3.87847
       178818.50       26365.349      3.89203
       174931.14       26077.194      3.90550
       143832.27       23645.880      3.91887
       143832.27       23645.880      3.93216
       128282.83       22331.175      3.94535
       143832.27       23645.880      3.95846
       108846.04       20569.968      3.97148
       190480.57       27211.510      3.98442
       128282.83       22331.175      3.99727
       136057.55       22997.924      4.01004
       147719.63       23963.287      4.02273
       174931.14       26077.194      4.03534
       136057.55       22997.924      4.04787
       136057.55       22997.924      4.06033
       186593.21       26932.410      4.07271
       89409.248       18643.117      4.08501
       167156.42       25491.114      4.09724
       120508.12       21643.896      4.10940
       136057.55       22997.924      4.12149
       112733.40       20934.066      4.13350
       139944.91       23324.152      4.14545
       89409.248       18643.117      4.15733
       112733.40       20934.066      4.16914
       108846.04       20569.968      4.18088
       97183.965       19436.793      4.19256
       143832.27       23645.880      4.20417
       104958.68       20199.307      4.21572
       128282.83       22331.175      4.22721
       147719.63       23963.287      4.23864
       147719.63       23963.287      4.25000
       97183.965       19436.793      4.26130
       136057.55       22997.924      4.27255
       101071.32       19821.717      4.28373
       124395.47       21990.221      4.29486
       147719.63       23963.287      4.30593
       97183.965       19436.793      4.31694
       93296.606       19044.091      4.32790
       124395.47       21990.221      4.33880
       93296.606       19044.091      4.34965
       124395.47       21990.221      4.36044
       136057.55       22997.924      4.37118
       97183.965       19436.793      4.38187
       116620.76       21291.941      4.39250
       89409.248       18643.117      4.40309
       120508.12       21643.896      4.41362
       89409.248       18643.117      4.42410
       101071.32       19821.717      4.43454
       104958.68       20199.307      4.44492
       85521.889       18233.328      4.45526
       120508.12       21643.896      4.46555
       73859.813       16944.604      4.47579
       101071.32       19821.717      4.48599
       93296.606       19044.091      4.49614
       77747.172       17384.796      4.50624
       108846.04       20569.968      4.51630
       81634.530       17814.115      4.52631
       97183.965       19436.793      4.53628
       101071.32       19821.717      4.54621
       108846.04       20569.968      4.55609
       128282.83       22331.175      4.56593
       101071.32       19821.717      4.57573
       97183.965       19436.793      4.58549
       128282.83       22331.175      4.59520
       93296.606       19044.091      4.60488
       112733.40       20934.066      4.61451
       85521.889       18233.328      4.62410
       97183.965       19436.793      4.63366
       89409.248       18643.117      4.64317
       116620.76       21291.941      4.65265
       101071.32       19821.717      4.66209
       112733.40       20934.066      4.67149
       73859.813       16944.604      4.68085
       81634.530       17814.115      4.69017
       89409.248       18643.117      4.69946
       66085.096       16027.990      4.70871
       66085.096       16027.990      4.71792
       108846.04       20569.968      4.72710
       97183.965       19436.793      4.73625
       124395.47       21990.221      4.74536
