    RA(°)      Dec      Pos      Distance(kpc)  
      19.1301     -74.6515       134.20545       2.4007316
      18.6865     -74.7865       138.51553       2.3991143
      18.6631     -74.6152       135.42700       2.2803708
      18.1175     -74.6353       138.29972       2.1841328
      17.9124     -74.4805       136.15365       2.0382803
      18.2158     -75.0513       144.93320       2.5066579
      18.9003     -74.9757       140.79869       2.5721039
      19.0326     -75.0170       140.91461       2.6260914
      19.7638     -74.7149       133.03042       2.5742735
      18.6291     -74.7563       138.22471       2.3672812
      19.4438     -74.5886       131.80527       2.4302542
      19.8100     -74.7039       132.67053       2.5777348
      19.0839     -75.1548       142.78881       2.7351059
      17.5125     -74.8880       145.81715       2.2620402
      17.8378     -74.7457       141.73468       2.2101014
      16.6060     -75.2947       156.04935       2.4772039
      16.9478     -74.6842       145.49808       2.0077708
      16.9383     -74.9308       149.58837       2.2065237
      17.4700     -74.5379       139.67916       1.9907027
      17.0717     -74.3237       137.22093       1.7625408
      18.1315     -74.3067       131.17080       1.9754043
      18.2655     -74.4447       133.68374       2.0886620
      18.2171     -74.5726       136.58806       2.1613816
      18.3715     -74.7570       139.38205       2.3178502
      17.9975     -74.8475       142.71862       2.3142834
      17.5848     -74.7865       143.74996       2.1956344
      18.4025     -74.6656       137.55132       2.2609615
      17.9375     -74.5778       138.04531       2.1091762
      16.8367     -74.4788       142.17573       1.8298802
      17.4942     -74.3671       135.81584       1.8774656
      17.5524     -74.1806       130.88081       1.7719348
      17.3198     -74.1868       132.30993       1.7245898
      17.0640     -74.2133       134.49767       1.6868140
      16.8931     -74.3412       138.74356       1.7396491
      16.9557     -74.3634       138.87358       1.7676131
      15.9541     -74.3980       146.63403       1.6153995
      15.6990     -74.3961       148.62424       1.5736255
      15.8474     -74.5518       150.46930       1.7270800
      16.1219     -74.4453       146.35952       1.6809464
      15.6285     -74.4350       149.98753       1.5958602
      15.6979     -73.9854       137.88403       1.2524969
      16.8721     -73.9764       128.83615       1.4986151
      16.3630     -73.9203       130.33247       1.3500543
      16.2177     -74.3320       143.16071       1.6076829
      16.5736     -74.1937       137.14530       1.5731410
      16.4728     -74.0396       133.43210       1.4488684
      16.0195     -74.0669       137.68983       1.3739997
      15.7060     -74.0242       139.05131       1.2820604
      16.1652     -73.7429       125.08877       1.2029553
      14.5180     -73.9091       148.51331      0.98356136
      14.9026     -73.8488       141.40904      0.99979698
      15.4191     -74.0917       143.73914       1.2806234
      14.3756     -74.0328       153.95738       1.0712305
      14.9235     -74.2906       153.47765       1.3721647
      15.1729     -74.2120       149.27291       1.3391262
      14.9935     -74.5387       157.18498       1.6045553
      15.5372     -74.6032       153.72678       1.7290742
      14.9397     -74.4331       155.96580       1.5019851
      14.8160     -74.5398       158.76841       1.5860078
      14.5728     -74.5373       160.94636       1.5590051
      14.5429     -74.7849       164.03307       1.7925334
      15.6234     -74.5963       152.94563       1.7343011
      15.9854     -74.5838       150.02398       1.7743919
      15.9653     -74.7606       153.06945       1.9237752
      16.4270     -74.6543       148.22411       1.8998784
      15.2922     -74.4968       153.93348       1.6030580
      15.7738     -74.5530       151.04971       1.7175705
      16.1853     -74.5407       147.79331       1.7687666
      15.5032     -74.2499       147.06298       1.4219601
      16.8068     -74.2634       137.39719       1.6680635
      16.9347     -74.1825       134.47462       1.6395678
