    pmRA(mas/yr)      pmDec      errpmRA      errpmDec      Distance(kpc)      PositionAngle(°)  
      0.70301440     -0.72492788     0.232077     0.101878       2.8609147       132.10862
      0.72366562     -0.79998172     0.277726     0.273965       3.1202850       126.05324
      0.75440843     -0.70390510     0.151380     0.135749       3.0780350       128.01633
      0.47688133     -0.71468346    0.0341042    0.0539527       2.8609379       128.16572
      0.71224990     -0.76797030     0.186573   0.00121013       2.8482068       123.22880
      0.71646782     -0.77899401     0.183295    0.0973667       2.7766017       125.95942
      0.69847795     -0.75257054     0.252998    0.0564260       2.7423830       129.01453
      0.72326958     -0.76649709    0.0426283    0.0578638       2.6783134       126.75725
      0.72115821     -0.76146964    0.0222306    0.0903919       2.8662200       125.24909
      0.69627102     -0.76479368     0.247032     0.243315       2.6422887       134.80454
      0.70268636     -0.75628083     0.169370     0.104193       2.4292272       125.09789
      0.71241774     -0.78441810     0.198545     0.152641       2.5004221       126.13034
      0.70056052     -0.77865200    0.0313584    0.0297546       2.3576986       130.19924
      0.70078252     -0.76936699     0.176524   0.00339416       2.5513077       126.91977
      0.66393220     -0.78826473    0.0968984     0.159490       2.2693000       125.84584
      0.72197057     -0.75123029    0.0823774     0.223531       2.4502882       121.15054
      0.67398022     -0.83665633    0.0844286     0.122038       2.3435239       124.45611
      0.72924343     -0.74995116    0.0722915     0.162625       2.3367845       118.03031
      0.70412856     -0.81539244    0.0858635    0.0325760       2.0519015       112.96813
      0.70764716     -0.81460161     0.140722    0.0359103       2.0681683       113.82869
      0.73482520     -0.78013649     0.198142    0.0367463       2.2672747       119.82016
      0.68865289     -0.79643262    0.0873219   0.00246024       2.1358603       122.39947
      0.67273168     -0.78988022     0.134879     0.320583       2.0934582       121.76247
      0.67423331     -0.77569531    0.0497805     0.113615       1.9192344       117.87329
      0.67817444     -0.82737459    0.0651211    0.0158098       1.9569955       127.38244
      0.66719370     -0.85185963     0.280170    0.0561906       1.9162876       131.88837
      0.68938001     -0.78081803    0.0806765    0.0300531       1.8256933       125.29603
      0.67653976     -0.78937365     0.288789     0.165505       2.0393529       126.92304
      0.68834383     -0.78910542     0.213366    0.0783543       2.0374583       127.61909
      0.67039825     -0.84256359     0.148342    0.0968232       2.0071753       123.63082
      0.69593334     -0.80185943    0.0837234   0.00509664       2.2606687       125.56351
      0.71697611     -0.72888305    0.0226570     0.240727       2.2728054       123.41980
      0.68458894     -0.82414248     0.186224     0.127971       2.0458474       130.84038
      0.70045130     -0.80147511    0.0813196    0.0739911       2.2680962       128.46776
      0.69935173     -0.84256098     0.213683     0.107377       2.2461539       129.35329
      0.69636895     -0.79259395     0.123584     0.153256       2.1031139       124.52837
      0.69623410     -0.78988185     0.103485     0.182981       2.1467360       119.59195
      0.69110704     -0.80492565     0.235232     0.170943       2.1301772       119.97221
      0.74718272     -0.75724178    0.0488221     0.178201       2.4128298       122.55739
      0.69122638     -0.80751318    0.0824302    0.0778500       2.5203034       123.60137
      0.74870693     -0.75824088     0.105003    0.0315146       2.7204451       127.63283
      0.72495023     -0.75340172    0.0233769    0.0624744       2.7139183       127.31279
      0.71604691     -0.82535704     0.117190    0.0800646       2.5424756       125.89506
      0.77468471     -0.78854612     0.179338    0.0586644       2.8827323       132.18748
      0.72941581     -0.77861749     0.271072     0.106086       2.8691589       135.22868
      0.70391261     -0.83106892     0.112814   0.00361655       2.6541905       134.95759
      0.70138677     -0.79582109    0.0519240    0.0716146       2.5981610       133.42793
      0.71036494     -0.81662311     0.210521   0.00908356       2.3720908       128.91502
      0.73190369     -0.79748674     0.151596     0.108419       2.3449089       125.53682
      0.70127274     -0.79582522     0.206599   0.00734294       2.4066718       124.44913
      0.70850872     -0.81702484    0.0842782    0.0177069       2.4994345       129.02930
      0.69943943     -0.81136674    0.0854730     0.124176       2.4007316       134.20545
      0.67641663     -0.82592012     0.151520    0.0237582       2.3991143       138.51553
      0.71976391     -0.77376553    0.0104846    0.0408848       2.2803708       135.42700
      0.69550763     -0.85172911     0.275588    0.0172123       2.1841328       138.29972
      0.74779633     -0.79997378     0.109726     0.182845       2.0382803       136.15365
      0.69741162     -0.83252802     0.192194     0.211640       2.5066579       144.93320
      0.68567608     -0.82420254    0.0375808     0.156337       2.5721039       140.79869
      0.71657315     -0.80784244    0.0876051    0.0962710       2.6260914       140.91461
      0.73225025     -0.80325895     0.157063     0.256683       2.5742735       133.03042
      0.71730875     -0.81268830    0.0979229    0.0814959       2.3672812       138.22471
      0.74058332     -0.81856674     0.237721    0.0749973       2.4302542       131.80527
      0.71663341     -0.73295111     0.301038    0.0578515       2.5777348       132.67053
      0.69021710     -0.80364629     0.162730    0.0527205       2.7351059       142.78881
      0.69547463     -0.80214347     0.207490     0.187119       2.2620402       145.81715
      0.69768260     -0.84427520    0.0273268    0.0733135       2.2101014       141.73468
      0.67895600     -0.81848550    0.0612154    0.0811979       2.4772039       156.04935
      0.63746462     -0.81724620     0.125921   0.00361992       2.0077708       145.49808
      0.62601944     -0.79967931  0.000480139    0.0591953       2.2065237       149.58837
      0.67574784     -0.80352102  0.000485124     0.101009       1.9907027       139.67916
      0.64614478     -0.81168621     0.146310     0.115336       1.7625408       137.22093
      0.67606480     -0.81778710    0.0646957     0.113422       1.9754043       131.17080
      0.65535223     -0.82176240     0.116252     0.125127       2.0886620       133.68374
      0.68267432     -0.84093156     0.110199    0.0199334       2.1613816       136.58806
      0.66356383     -0.82642489     0.128230     0.142310       2.3178502       139.38205
      0.70696237     -0.77553372    0.0169674    0.0261152       2.3142834       142.71862
      0.69218201     -0.82405320   0.00539765     0.102682       2.1956344       143.74996
      0.68244460     -0.80157731     0.100744     0.145005       2.2609615       137.55132
      0.69012874     -0.79703926     0.142451     0.100403       2.1091762       138.04531
      0.66205357     -0.81670537   0.00823493    0.0360074       1.8298802       142.17573
      0.71934093     -0.81495561    0.0809950    0.0413255       1.8774656       135.81584
      0.69489825     -0.81220085     0.184412  0.000704924       1.7719348       130.88081
      0.65398604     -0.83051892     0.156849     0.195773       1.7245898       132.30993
      0.64805696     -0.86057130     0.333659    0.0267690       1.6868140       134.49767
      0.64608233     -0.80130810    0.0199817    0.0393510       1.7396491       138.74356
      0.64169789     -0.84321452    0.0865797     0.265178       1.7676131       138.87358
      0.63781310     -0.82657342     0.147507    0.0235402       1.6153995       146.63403
      0.66229778     -0.83013921    0.0430878    0.0652631       1.5736255       148.62424
      0.64164569     -0.86957733    0.0786957    0.0798091       1.7270800       150.46930
      0.69858020     -0.81064580    0.0259252     0.165839       1.6809464       146.35952
      0.67000612     -0.86334233    0.0382033    0.0829883       1.5958602       149.98753
      0.62652935     -0.83373579   0.00663924    0.0159478       1.2524969       137.88403
      0.66006056     -0.80040418     0.119562    0.0667851       1.4986151       128.83615
      0.67314779     -0.85086928     0.343898     0.148103       1.3500543       130.33247
      0.65973019     -0.82375424    0.0966086    0.0510970       1.6076829       143.16071
      0.65779260     -0.80011884     0.165556     0.204011       1.5731410       137.14530
      0.68335258     -0.85692813     0.133211    0.0366437       1.4488684       133.43210
      0.68365623     -0.81313553     0.252836    0.0713170       1.3739997       137.68983
      0.63861911     -0.86789758     0.142650    0.0345169       1.2820604       139.05131
      0.62766135     -0.86544241     0.269242    0.0871997       1.2029553       125.08877
      0.62057499     -0.86522518     0.161955    0.0479820      0.98356136       148.51331
      0.66763280     -0.79605012     0.169211    0.0677802      0.99979698       141.40904
      0.65405084     -0.85821496    0.0718590    0.0993767       1.2806234       143.73914
      0.65432925     -0.81187368     0.242200    0.0537505       1.0712305       153.95738
      0.66501267     -0.83960489    0.0784318    0.0357918       1.3721647       153.47765
      0.69772763     -0.84379088     0.210437    0.0109281       1.3391262       149.27291
      0.65748196     -0.86836296     0.297871    0.0359815       1.6045553       157.18498
      0.66715992     -0.89305856     0.188403    0.0111281       1.7290742       153.72678
      0.63192845     -0.90699817     0.160955    0.0332623       1.5019851       155.96580
      0.64162567     -0.89694024    0.0560916    0.0966544       1.5860078       158.76841
      0.68362178     -0.87119866     0.258032     0.174173       1.5590051       160.94636
      0.66554342     -0.84913705     0.181591    0.0598004       1.7925334       164.03307
      0.64084450     -0.86968514    0.0612558    0.0365049       1.7343011       152.94563
      0.66362545     -0.81161930    0.0287280    0.0200512       1.7743919       150.02398
      0.65472806     -0.81520087     0.100045    0.0241077       1.9237752       153.06945
      0.67529697     -0.85962785     0.113943    0.0349232       1.8998784       148.22411
      0.67659087     -0.84359495    0.0380831    0.0383290       1.6030580       153.93348
      0.65432421     -0.88194887    0.0122076    0.0932058       1.7175705       151.04971
      0.67366582     -0.82938051     0.109130     0.180891       1.7687666       147.79331
      0.64332684     -0.91187543    0.0797504    0.0344443       1.4219601       147.06298
      0.68859344     -0.86695361    0.0780986     0.186711       1.6680635       137.39719
      0.66355203     -0.86241584    0.0447051    0.0852145       1.6395678       134.47462
      0.68017248     -0.84017227     0.212664     0.111582       1.7544827       133.74638
      0.70152238     -0.82722274    0.0762642     0.120346       1.7480594       133.93416
      0.67767921     -0.83809605     0.128324    0.0715975       1.9508807       134.77077
      0.69684420     -0.83086239    0.0325053     0.204316       1.9378176       141.29442
      0.69536938     -0.84588430    0.0782714    0.0194087       2.2131520       136.66630
      0.65416007     -0.84654654    0.0352073    0.0622828       1.9523867       136.97577
      0.71099568     -0.81652658     0.147413    0.0940821       2.0986582       131.92945
      0.68508908     -0.79124741     0.136304    0.0229163       2.0480071       134.37509
      0.69689913     -0.81035648    0.0757435    0.0138187       1.9300035       127.89567
      0.70977880     -0.77853863    0.0351030     0.106270       2.1039293       130.05612
      0.69124691     -0.85838622    0.0827921     0.355537       2.0697948       127.72574
      0.69957676     -0.83887363     0.244454    0.0846289       2.1603169       128.00585
      0.76027628     -0.78110287    0.0500960     0.131840       2.1214965       124.09995
      0.68132150     -0.79711258    0.0669583     0.116389       2.3942163       130.50437
      0.75451324     -0.81830368     0.238216     0.183633       2.4399700       131.68597
      0.73721270     -0.82941641     0.155759     0.124642       2.2889718       136.58788
      0.68437508     -0.84145938    0.0511939    0.0154156       1.9157643       130.29417
      0.75018495     -0.86666944    0.0473189     0.205377       1.9415066       125.20942
      0.68471555     -0.86129570     0.211986     0.192443       1.8709572       127.98622
      0.75499075     -0.87093129     0.157754     0.220215       1.8800841       125.92092
      0.71412971     -0.78348890    0.0964003     0.139257       1.8303322       127.89888
      0.70404699     -0.77843141    0.0752342    0.0864600       1.6827169       119.93081
      0.71022741     -0.83120032     0.140239     0.179200       1.7272804       117.65817
      0.71938685     -0.82001862     0.196366     0.235864       1.5311297       116.94998
      0.67818466     -0.82148466     0.100507   0.00824114       1.5990575       121.02935
      0.70958820     -0.82542899    0.0356875     0.152886       2.0590448       115.96829
      0.75414975     -0.83015305    0.0817597     0.235869       1.9378550       116.41458
      0.69196502     -0.84697577     0.229775     0.175803       1.8444483       123.85185
      0.70822682     -0.80235397    0.0130079    0.0787764       1.9318846       123.24827
      0.72955875     -0.79396546    0.0460904    0.0741417       1.9215503       118.91745
      0.67798125     -0.85664511    0.0919238    0.0551011       1.8238754       125.70454
      0.69040330     -0.83859263    0.0787528     0.143782       1.7730357       131.10706
      0.67068916     -0.82254697    0.0617447     0.118686       1.6548840       122.65052
      0.68063570     -0.84599972     0.284330     0.130350       1.6039260       129.18276
      0.67553648     -0.77755150     0.106304     0.139842       1.7981265       134.67464
      0.66376831     -0.87240140     0.160459     0.105694       1.6272278       132.28205
      0.71486307     -0.79276252    0.0686007    0.0525396       1.4584470       119.74547
      0.65673908     -0.81951058     0.331755    0.0677184       1.3651820       131.55723
      0.64989799     -0.84814524    0.0930818    0.0542093       1.4363731       132.09888
      0.69136431     -0.84578272     0.220400    0.0770422       1.3160846       126.53600
      0.69124508     -0.85355731     0.151228    0.0446922       1.5360507       124.51389
      0.66007121     -0.83227607     0.105377     0.121542       1.5235874       123.65029
      0.69147165     -0.80216776    0.0597908     0.274971       1.4713886       118.55803
      0.66082207     -0.87560362     0.150283    0.0573179       1.3100604       110.39861
      0.69479903     -0.77799736     0.101793    0.0257705       1.2865332       112.51039
      0.68593965     -0.83525368     0.237483    0.0808143       1.2134837       122.46156
      0.65039859     -0.84016083     0.108234     0.110508       1.1779941       120.53016
      0.66461041     -0.81432450     0.310910     0.116946       1.5287731       122.86414
      0.65751188     -0.82789185     0.210286     0.174591       1.6128309       122.21649
      0.66137381     -0.76917854    0.0696135    0.0631367       1.6509895       121.64441
      0.71139722     -0.84542709   0.00319772    0.0841385       1.7607115       124.76176
      0.70889647     -0.78866034     0.117259     0.116778       1.7065744       114.53809
      0.67738882     -0.82959499    0.0449097     0.241515       1.7748419       117.27722
      0.67005055     -0.82021633    0.0193605    0.0364569       1.7311429       116.44363
      0.70882954     -0.76733904    0.0225739     0.149502       1.6700416       108.11983
      0.70863839     -0.84079957     0.161415    0.0796093       1.5739759       112.00185
      0.67943359     -0.81531754    0.0517793     0.107534       1.5122798       112.05372
      0.71825472     -0.85345744     0.203395    0.0555418       1.3327845       104.77162
      0.67204506     -0.84011232     0.182128    0.0961553       1.3012286       105.19238
      0.69955306     -0.84645621     0.125186    0.0279505       1.4148449       96.077941
      0.68619960     -0.82589180     0.128151    0.0455054       1.0833181       99.094699
      0.70200413     -0.85623787     0.130360    0.0425158      0.96741718       100.50679
      0.68519622     -0.83644121     0.162517     0.105921       1.0488474       106.05854
      0.68362331     -0.89000092    0.0210500     0.102100       1.0028351       113.49616
      0.63621703     -0.83944138    0.0237339    0.0882552       1.1818270       116.23179
      0.65540002     -0.86049271     0.164439  0.000286718       1.0479198       122.49327
      0.66604263     -0.88858250    0.0157049     0.137377       1.2933343       127.13256
      0.66377036     -0.88682407     0.163239    0.0427364       1.3234437       124.85567
      0.66137239     -0.86510073   0.00200083     0.309981      0.90512913       129.74000
      0.65038550     -0.85594219    0.0153571    0.0245897       1.0589015       117.79044
      0.64666027     -0.85952804     0.164686     0.131855       1.1546180       120.60009
      0.68813106     -0.87413408     0.140559     0.177835       1.0523747       124.84878
      0.70383165     -0.83866495   0.00863767     0.126010       1.0821597       111.13560
      0.66556737     -0.87341485     0.201069     0.126539       1.1669161       110.91417
      0.70346943     -0.81024043     0.176349    0.0368053       1.2544243       104.58192
      0.67918868     -0.86253324    0.0934171    0.0453246       1.1654400       104.26933
      0.71402238     -0.86188120    0.0439239     0.163704       1.3848350       106.47755
      0.68786686     -0.85937812    0.0515518     0.134821       1.3738131       116.55636
      0.68419103     -0.83690392     0.119297    0.0239985       1.2125195       116.65503
      0.70625242     -0.86441916     0.136068   0.00874052       1.4131723       123.67922
      0.70426476     -0.82906461     0.238720    0.0187335       1.4603791       109.50201
      0.72001209     -0.81444800    0.0339595     0.183283       1.5494399       110.64724
      0.63066619     -0.87731459    0.0929006    0.0347967       1.4372950       129.25177
      0.74329248     -0.81730322     0.124223   0.00735299       1.7065094       131.19331
      0.72950207     -0.85154155     0.186327     0.184161       1.7463440       129.40277
      0.69190673     -0.85600762     0.267011    0.0787260       1.5634796       133.78039
      0.71631064     -0.84297734    0.0271812     0.408876       1.4086225       130.43604
      0.69287876     -0.85978001     0.158810    0.0346259       1.3859127       131.58415
      0.68075686     -0.86637857    0.0301428    0.0184464       1.3481219       136.98254
      0.71462509     -0.87481336    0.0543625     0.218653       1.4293730       114.95669
      0.71622071     -0.89616516     0.283587    0.0941275       1.2828235       124.17103
