 0.244632197E+00 -0.609640227E+00 -0.502437516E+02 -0.735562395E+02  0.890783640E+02 -0.217006641E+01  0.533800125E+00  0.150464876E-01  0.187614002E+02  0.132486001E-01  0.235390900E-01  0.224454014E-01  0.248918801E-01  0.212436858E-01  0.260565787E-01  0.976460910E+00  0.975090726E+00  0.977544393E+00  0.973928410E+00  0.978736541E+00
 0.241996745E+00 -0.608019535E+00 -0.577380527E+02 -0.680633931E+02  0.892541775E+02 -0.227430157E+01  0.127279854E+01  0.436948520E-02  0.159426003E+02  0.220743010E-02  0.233607251E-01  0.222750454E-01  0.247035715E-01  0.210821792E-01  0.258597187E-01  0.976639275E+00  0.975279188E+00  0.977714855E+00  0.974125294E+00  0.978898147E+00
 0.244298712E+00 -0.608649858E+00 -0.512183588E+02 -0.701596087E+02  0.868659368E+02 -0.220139123E+01  0.609800339E+00  0.282137450E-01  0.195814991E+02  0.261566993E-01  0.259332032E-01  0.247323915E-01  0.274190294E-01  0.234122491E-01  0.286981182E-01  0.974066797E+00  0.972561503E+00  0.975255949E+00  0.971286640E+00  0.976566697E+00
 0.243322907E+00 -0.608264048E+00 -0.539856779E+02 -0.688620177E+02  0.875010337E+02 -0.223568546E+01  0.543998718E+00  0.151300533E-01  0.187966003E+02  0.135503998E-01  0.252165365E-01  0.240477183E-01  0.266626235E-01  0.227629576E-01  0.279075465E-01  0.974783463E+00  0.973318534E+00  0.975941063E+00  0.972077262E+00  0.977216361E+00
 0.241765648E+00 -0.607929707E+00 -0.583939423E+02 -0.677621107E+02  0.894514178E+02 -0.228207196E+01  0.136619949E+01  0.671676640E-02  0.160417004E+02  0.232035990E-02  0.231625951E-01  0.220858164E-01  0.244943906E-01  0.209027843E-01  0.256410340E-01  0.976837405E+00  0.975488539E+00  0.977904202E+00  0.974344007E+00  0.979077653E+00
 0.241906783E+00 -0.607150272E+00 -0.580260940E+02 -0.650767211E+02  0.871894903E+02 -0.229898270E+01  0.101020050E+01  0.654344400E-02  0.169535999E+02  0.385975000E-02  0.255650148E-01  0.243806320E-01  0.270304340E-01  0.230786597E-01  0.282919781E-01  0.974434985E+00  0.972950420E+00  0.975607936E+00  0.971692804E+00  0.976900477E+00
 0.244245896E+00 -0.607429848E+00 -0.514097843E+02 -0.659651868E+02  0.836323609E+02 -0.223281663E+01  0.815500259E+00  0.113141080E-01  0.181091995E+02  0.830507000E-02  0.299947889E-01  0.286138299E-01  0.317044727E-01  0.270942699E-01  0.331759626E-01  0.970005211E+00  0.968272905E+00  0.971371920E+00  0.966808801E+00  0.972882732E+00
 0.243503888E+00 -0.606975742E+00 -0.535215088E+02 -0.644256467E+02  0.837568855E+02 -0.226400718E+01  0.107589912E+01  0.724612500E-02  0.170904999E+02  0.415233010E-02  0.298245436E-01  0.284510959E-01  0.315248903E-01  0.269398573E-01  0.329883573E-01  0.970175456E+00  0.968452557E+00  0.971534765E+00  0.966996397E+00  0.973037221E+00
 0.243282653E+00 -0.606770584E+00 -0.541539419E+02 -0.637268728E+02  0.836287256E+02 -0.227516375E+01  0.105389976E+01  0.805695820E-02  0.172798996E+02  0.484558010E-02  0.299997768E-01  0.286185977E-01  0.317097341E-01  0.270987940E-01  0.331814590E-01  0.970000223E+00  0.968267642E+00  0.971367149E+00  0.966803305E+00  0.972878206E+00
 0.243366504E+00 -0.606703991E+00 -0.539194786E+02 -0.634952656E+02  0.833004137E+02 -0.227481935E+01  0.673400879E+00  0.223498475E-01  0.192026997E+02  0.193847008E-01  0.304544560E-01  0.290532332E-01  0.321893299E-01  0.275112217E-01  0.336824637E-01  0.969545544E+00  0.967787863E+00  0.970932214E+00  0.966302331E+00  0.972465578E+00
 0.244493139E+00 -0.606651011E+00 -0.507383202E+02 -0.632794361E+02  0.811089648E+02 -0.224664222E+01  0.471700668E+00  0.402449705E-01  0.201000004E+02  0.408966988E-01  0.337159863E-01  0.321708599E-01  0.356278245E-01  0.304702677E-01  0.372737281E-01  0.966284014E+00  0.964348162E+00  0.967812389E+00  0.962711449E+00  0.969505192E+00
 0.239316158E+00 -0.605878532E+00 -0.653996203E+02 -0.607941249E+02  0.892918583E+02 -0.239267373E+01  0.766901016E+00  0.896612460E-02  0.178059998E+02  0.659045020E-02  0.233227139E-01  0.222387415E-01  0.246634406E-01  0.210477616E-01  0.258177649E-01  0.976677286E+00  0.975319351E+00  0.977751182E+00  0.974167253E+00  0.978932586E+00
 0.240429372E+00 -0.606212939E+00 -0.622384722E+02 -0.619037213E+02  0.877821060E+02 -0.235889100E+01  0.495599747E+00  0.130514763E-01  0.185974007E+02  0.115906997E-01  0.249071317E-01  0.237521453E-01  0.263360399E-01  0.224826780E-01  0.275661923E-01  0.975092868E+00  0.973645386E+00  0.976236825E+00  0.972418643E+00  0.977496804E+00
 0.238833192E+00 -0.604891848E+00 -0.668094940E+02 -0.574190021E+02  0.880934179E+02 -0.243164149E+01  0.577199936E+00  0.104199611E-01  0.181847992E+02  0.857056960E-02  0.245698595E-01  0.234299640E-01  0.259800263E-01  0.221771800E-01  0.271940641E-01  0.975430141E+00  0.974001692E+00  0.976559212E+00  0.972790803E+00  0.977802483E+00
 0.241487851E+00 -0.605824820E+00 -0.592624072E+02 -0.605322965E+02  0.847124066E+02 -0.234559434E+01  0.687200546E+00  0.368609242E-01  0.198325005E+02  0.325098000E-01  0.285567786E-01  0.272393746E-01  0.301874685E-01  0.257902052E-01  0.315910765E-01  0.971443221E+00  0.969790747E+00  0.972747310E+00  0.968393631E+00  0.974187453E+00
 0.241525229E+00 -0.605691542E+00 -0.591620623E+02 -0.600726822E+02  0.843141552E+02 -0.234855744E+01  0.985099793E+00  0.682409110E-02  0.170338993E+02  0.418805010E-02  0.290769937E-01  0.277365694E-01  0.307362936E-01  0.262619086E-01  0.321644887E-01  0.970923006E+00  0.969241464E+00  0.972249779E+00  0.967820232E+00  0.973715508E+00
 0.241824239E+00 -0.605709984E+00 -0.583159551E+02 -0.601261023E+02  0.837609623E+02 -0.234091270E+01  0.810499191E+00  0.120242024E-01  0.181252995E+02  0.854432020E-02  0.298189900E-01  0.284457874E-01  0.315190320E-01  0.269348202E-01  0.329822373E-01  0.970181010E+00  0.968458417E+00  0.971540077E+00  0.967002517E+00  0.973042260E+00
 0.242695530E+00 -0.605938738E+00 -0.558440138E+02 -0.608844722E+02  0.826164199E+02 -0.231304025E+01  0.530199051E+00  0.188320428E-01  0.190277996E+02  0.169805996E-01  0.314292634E-01  0.299849822E-01  0.332172745E-01  0.283954451E-01  0.347562119E-01  0.968570737E+00  0.966759539E+00  0.969999817E+00  0.965228667E+00  0.971580936E+00
 0.242264663E+00 -0.605623832E+00 -0.570741031E+02 -0.598153535E+02  0.826760531E+02 -0.233274714E+01  0.652400971E+00  0.334384516E-01  0.195928993E+02  0.269038007E-01  0.313427635E-01  0.299023078E-01  0.331260749E-01  0.283169831E-01  0.346609532E-01  0.968657236E+00  0.966850772E+00  0.970082549E+00  0.965323917E+00  0.971659434E+00
 0.243642646E+00 -0.606297867E+00 -0.531538991E+02 -0.620901308E+02  0.817344562E+02 -0.227880753E+01  0.138930130E+01  0.551614350E-02  0.159671001E+02  0.232489010E-02  0.327432855E-01  0.312409884E-01  0.346025488E-01  0.295875638E-01  0.362030326E-01  0.967256714E+00  0.965373779E+00  0.968742925E+00  0.963782000E+00  0.970388278E+00
