 0.265262515E+01 -0.416785728E-01 -0.766495328E+02 -0.464188243E+02  0.896094757E+02 -0.259706695E+01  0.747600555E+00  0.628976340E-02  0.178204994E+02  0.342300000E-02  0.245294808E-02  0.214502399E-02  0.277170466E-02  0.189653600E-02  0.313325698E-02  0.997547052E+00  0.997225468E+00  0.997852406E+00  0.996844920E+00  0.998094948E+00
 0.265288139E+01 -0.417191376E-01 -0.757687887E+02 -0.465575210E+02  0.889298156E+02 -0.259060255E+01  0.608400345E+00  0.170784406E-01  0.194498005E+02  0.810400020E-02  0.252715878E-02  0.220999973E-02  0.285543671E-02  0.195415091E-02  0.322759565E-02  0.997472841E+00  0.997141620E+00  0.997787388E+00  0.996749922E+00  0.998037183E+00
 0.265198069E+01 -0.403676155E-01 -0.788673529E+02 -0.419122455E+02  0.893123489E+02 -0.265312062E+01  0.853899002E+00  0.395597750E-02  0.173712006E+02  0.153200000E-02  0.248505275E-02  0.217313300E-02  0.280792912E-02  0.192145973E-02  0.317407187E-02  0.997514947E+00  0.997189193E+00  0.997824291E+00  0.996803820E+00  0.998069959E+00
 0.265213698E+01 -0.404045673E-01 -0.783300843E+02 -0.420388322E+02  0.888980625E+02 -0.264902704E+01  0.561300278E+00  0.951982290E-02  0.186870995E+02  0.414100010E-02  0.253069362E-02  0.221309479E-02  0.285942493E-02  0.195689553E-02  0.323208873E-02  0.997469306E+00  0.997137626E+00  0.997784287E+00  0.996745397E+00  0.998034432E+00
 0.265134657E+01 -0.384924137E-01 -0.810511405E+02 -0.354652164E+02  0.884707237E+02 -0.272912689E+01  0.601499557E+00  0.130940089E-01  0.191653996E+02  0.634300010E-02  0.257886955E-02  0.225527778E-02  0.291377866E-02  0.199430404E-02  0.329331955E-02  0.997421130E+00  0.997083196E+00  0.997742024E+00  0.996683738E+00  0.997996928E+00
 0.265306269E+01 -0.387915581E-01 -0.751519266E+02 -0.364887974E+02  0.835418722E+02 -0.268958487E+01  0.351900101E+00  0.228632912E-01  0.200156002E+02  0.237360001E-01  0.322625447E-02  0.282231659E-02  0.364399712E-02  0.249745789E-02  0.411536960E-02  0.996773746E+00  0.996351904E+00  0.997174272E+00  0.995855937E+00  0.997492689E+00
 0.265188664E+01 -0.384114065E-01 -0.791949777E+02 -0.351849652E+02  0.866592538E+02 -0.272350333E+01  0.728300095E+00  0.166767649E-01  0.192756996E+02  0.668800020E-02  0.279620200E-02  0.244559460E-02  0.315895085E-02  0.216311854E-02  0.356943885E-02  0.997203798E+00  0.996837674E+00  0.997551338E+00  0.996405688E+00  0.997827712E+00
 0.265256462E+01 -0.387066573E-01 -0.768640081E+02 -0.361982929E+02  0.849611214E+02 -0.270146258E+01  0.372501373E+00  0.204986706E-01  0.199291000E+02  0.105600003E-01  0.302097754E-02  0.264246622E-02  0.341247396E-02  0.233781217E-02  0.385484021E-02  0.996979022E+00  0.996583778E+00  0.997354365E+00  0.996118289E+00  0.997652643E+00
 0.265009493E+01 -0.360170351E-01 -0.853594923E+02 -0.269561755E+02  0.895146821E+02 -0.283570796E+01  0.433698654E+00  0.957506150E-02  0.189937992E+02  0.586800000E-02  0.246313425E-02  0.215394233E-02  0.278319807E-02  0.190444357E-02  0.314620714E-02  0.997536866E+00  0.997213959E+00  0.997843486E+00  0.996831880E+00  0.998087019E+00
 0.265046026E+01 -0.374167273E-01 -0.841002734E+02 -0.317686376E+02  0.899005135E+02 -0.278041571E+01  0.365800858E+00  0.258887745E-01  0.203794994E+02  0.153569998E-01  0.242199979E-02  0.211792812E-02  0.273678395E-02  0.187251195E-02  0.309390847E-02  0.997578000E+00  0.997260437E+00  0.997879508E+00  0.996884544E+00  0.998119036E+00
