 0.153258713E+03 -0.161630559E+01 -0.227289811E+00 -0.783334150E-01  0.240409613E+00  0.000000000E+00  0.216800000E+03  0.170000000E+01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.457590027E+00  0.126421899E+00  0.100000000E+01  0.997754943E+00  0.997435996E+00  0.998009600E+00  0.997045026E+00  0.998290264E+00  0.224505713E-02  0.198834130E-02  0.256275708E-02  0.170851790E-02  0.291987118E-02
 0.153258453E+03 -0.160811102E+01 -0.242038131E+00  0.413330913E+00  0.478983194E+00  0.000000000E+00  0.214000000E+03  0.290000000E+01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.180790030E+00  0.983869940E-01  0.100000000E+01  0.998979424E+00  0.998836686E+00  0.999098030E+00  0.998646471E+00  0.999209271E+00  0.102057581E-02  0.901119084E-03  0.116150256E-02  0.790370865E-03  0.135331545E-02
 0.153263870E+03 -0.162294447E+01  0.824040170E-01 -0.476662815E+00  0.483733237E+00  0.000000000E+00  0.213800000E+03  0.260000000E+01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.211560029E+00  0.983896270E-01  0.100000000E+01  0.999050024E+00  0.998914085E+00  0.999158059E+00  0.998730315E+00  0.999264211E+00  0.949975732E-03  0.840601689E-03  0.108470323E-02  0.733400657E-03  0.126483396E-02
 0.153275040E+03 -0.161877775E+01  0.752587974E+00 -0.226666376E+00  0.785981119E+00  0.000000000E+00  0.238800000E+03  0.490000000E+01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.602890030E+00  0.107610560E+00  0.100000000E+01  0.890007923E+00  0.857932324E+00  0.918368646E+00  0.821287987E+00  0.939258988E+00  0.109992077E+00  0.814549072E-01  0.141934725E+00  0.602642753E-01  0.178145332E+00
 0.153278488E+03 -0.163113880E+01  0.959863961E+00 -0.968336761E+00  0.136345696E+01  0.000000000E+00  0.227800000E+03  0.800000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.197740019E+00  0.722120120E-01  0.100000000E+01  0.999659073E+00  0.999614010E+00  0.999694729E+00  0.999571336E+00  0.999726995E+00  0.340927255E-03  0.304922755E-03  0.385477516E-03  0.269960014E-03  0.428577195E-03
 0.153263031E+03 -0.159416676E+01  0.324275530E-01  0.124999905E+01  0.125041962E+01  0.000000000E+00  0.221400000E+03  0.170000000E+01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.271000027E+00  0.805232900E-01  0.100000000E+01  0.999708362E+00  0.999675443E+00  0.999737943E+00  0.999637494E+00  0.999762496E+00  0.291638401E-03  0.261345142E-03  0.324202706E-03  0.237159662E-03  0.362397840E-03
 0.153248901E+03 -0.162588882E+01 -0.814721644E+00 -0.653336465E+00  0.104432750E+01  0.000000000E+00  0.229700000E+03  0.380000000E+01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.100000000E+06  0.100000000E+01  0.994424809E+00  0.993836673E+00  0.994905424E+00  0.993278671E+00  0.995403357E+00  0.557519064E-02  0.508750448E-02  0.615324286E-02  0.458846036E-02  0.669384525E-02
 0.153257782E+03 -0.159008336E+01 -0.282186329E+00  0.149499845E+01  0.152139723E+01  0.000000000E+00  0.212000000E+03  0.270000000E+01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.642600028E+00  0.983943100E-01  0.100000000E+01  0.494288220E+00  0.377068193E+00  0.611857723E+00  0.275571464E+00  0.711979706E+00  0.505711780E+00  0.387421011E+00  0.622438727E+00  0.287496902E+00  0.719870471E+00
 0.153241501E+03 -0.160677779E+01 -0.125960946E+01  0.493320882E+00  0.135276806E+01  0.000000000E+00  0.182900000E+03  0.590000000E+01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.100000000E+06  0.600493400E-02  0.139241856E-01  0.712353566E-02  0.249794000E-01  0.385053386E-02  0.430906889E-01  0.986075814E+00  0.974675920E+00  0.992823658E+00  0.956593245E+00  0.996146027E+00
 0.153255493E+03 -0.158927763E+01 -0.419830084E+00  0.154333937E+01  0.159942293E+01  0.000000000E+00  0.222100000E+03  0.140000000E+01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.347610029E+00  0.893346100E-01  0.997709513E+00  0.999531513E+00  0.999478224E+00  0.999579406E+00  0.999408531E+00  0.999627770E+00  0.468486691E-03  0.419906804E-03  0.521328979E-03  0.372153317E-03  0.589519335E-03
