 0.264700170E+01  0.199204544E+00 -0.264976984E+02 -0.536689702E+02  0.598538752E+02 -0.202941114E+01  0.400400162E+00  0.204648733E+00  0.215774002E+02  0.458960012E-01  0.270224306E-02  0.257304833E-02  0.283432302E-02  0.245406050E-02  0.296207251E-02  0.997297757E+00  0.997164750E+00  0.997422868E+00  0.997034939E+00  0.997541641E+00
 0.264623683E+01  0.199711676E+00 -0.290723808E+02 -0.519209034E+02  0.595061638E+02 -0.208123589E+01  0.589000702E+00  0.973475054E-01  0.216028996E+02  0.495040007E-01  0.276551568E-02  0.263329900E-02  0.290067468E-02  0.251154934E-02  0.303138794E-02  0.997234484E+00  0.997098391E+00  0.997362512E+00  0.996965553E+00  0.997484056E+00
 0.264628890E+01  0.199725417E+00 -0.288968255E+02 -0.518739518E+02  0.593795706E+02 -0.207904257E+01  0.397500992E+00  0.714857504E-01  0.218780003E+02  0.591530018E-01  0.278900965E-02  0.265567093E-02  0.292531180E-02  0.253289600E-02  0.305712528E-02  0.997210990E+00  0.997073752E+00  0.997340101E+00  0.996939790E+00  0.997462674E+00
 0.264637719E+01  0.199676422E+00 -0.285995943E+02 -0.520429316E+02  0.593835290E+02 -0.207328515E+01  0.480400085E+00  0.209924266E+00  0.218894005E+02  0.578529984E-01  0.278827126E-02  0.265496780E-02  0.292453748E-02  0.253222510E-02  0.305631639E-02  0.997211729E+00  0.997074526E+00  0.997340806E+00  0.996940599E+00  0.997463346E+00
 0.264682766E+01  0.199313687E+00 -0.270836206E+02 -0.532927390E+02  0.597799175E+02 -0.204098613E+01  0.587900162E+00  0.443452857E-01  0.205872002E+02  0.190479998E-01  0.271554867E-02  0.258571844E-02  0.284827617E-02  0.246614975E-02  0.297664900E-02  0.997284451E+00  0.997150795E+00  0.997410176E+00  0.997020348E+00  0.997529532E+00
 0.264646938E+01  0.199683373E+00 -0.282888504E+02 -0.520195481E+02  0.592139548E+02 -0.206887620E+01  0.313598633E+00  0.286848754E+00  0.217991009E+02  0.536400005E-01  0.282012272E-02  0.268529811E-02  0.295793861E-02  0.256116562E-02  0.309120889E-02  0.997179877E+00  0.997041122E+00  0.997310422E+00  0.996905671E+00  0.997434357E+00
 0.264676985E+01  0.199805980E+00 -0.272755391E+02 -0.515996060E+02  0.583650098E+02 -0.205706110E+01  0.484001160E+00  0.110921368E+00  0.214403000E+02  0.397979990E-01  0.298658050E-02  0.284380713E-02  0.313249275E-02  0.271241517E-02  0.327355278E-02  0.997013420E+00  0.996866553E+00  0.997151634E+00  0.996723141E+00  0.997282856E+00
 0.264685605E+01  0.199968541E+00 -0.269840837E+02 -0.510410838E+02  0.577350241E+02 -0.205711897E+01  0.602399826E+00  0.115945116E+00  0.214743004E+02  0.382659994E-01  0.311807885E-02  0.296902712E-02  0.327038430E-02  0.283190465E-02  0.341759308E-02  0.996881921E+00  0.996728652E+00  0.997026191E+00  0.996578953E+00  0.997163169E+00
 0.264400279E+01  0.201011690E+00 -0.365909735E+02 -0.474360508E+02  0.599089164E+02 -0.222783754E+01  0.698099136E+00  0.143000022E+00  0.219195004E+02  0.633789971E-01  0.269239342E-02  0.256366915E-02  0.282399402E-02  0.244511132E-02  0.295128205E-02  0.997307607E+00  0.997175080E+00  0.997432264E+00  0.997045741E+00  0.997550605E+00
 0.264357710E+01  0.201324020E+00 -0.380226677E+02 -0.463589058E+02  0.599572464E+02 -0.225772186E+01  0.118230057E+01  0.291962810E-01  0.188722992E+02  0.436499990E-02  0.268378163E-02  0.255546868E-02  0.281496309E-02  0.243728685E-02  0.294184763E-02  0.997316218E+00  0.997184112E+00  0.997440479E+00  0.997055185E+00  0.997558443E+00
