    RA(°)      Dec      Pos      Distance(kpc)  
      14.3042     -72.2482       30.711420      0.97762160
      13.7815     -72.4355       27.077674      0.73559063
      13.3919     -72.3983       17.318098      0.72728387
      12.8284     -72.3085       3.2436620      0.78755315
      13.3421     -72.0196       10.800894       1.0965179
      13.2854     -72.0852       10.486111       1.0282300
      13.2078     -72.2725       11.104778      0.83775588
      13.2786     -72.0729       10.253424       1.0400835
      13.3163     -72.0079       10.281767       1.1067995
      13.3735     -71.9474       10.643738       1.1700780
      14.3789     -72.0058       26.005777       1.2069613
      14.2044     -72.1068       25.629719       1.0916077
      14.2914     -72.1566       28.080483       1.0576204
      14.8292     -72.0958       33.965677       1.1928566
      15.0358     -72.0541       35.433630       1.2629687
      14.7060     -72.1448       33.651549       1.1306266
      14.9754     -72.1701       37.839797       1.1556833
      14.8690     -72.2741       39.729612       1.0517284
      15.1525     -72.1585       39.647963       1.1976574
      14.3856     -72.1784       30.036172       1.0515412
      14.3118     -72.1488       28.193884       1.0674832
      15.3170     -72.2744       45.243409       1.1405781
      14.9798     -72.1651       37.750034       1.1605752
      15.5739     -72.1101       42.897230       1.3175760
      14.6069     -72.1898       33.536667       1.0758437
      13.9455     -72.4024       29.287213      0.78813595
      13.8960     -72.3907       27.916970      0.79165779
      13.8000     -72.5335       31.348352      0.65090114
      14.4702     -72.4259       39.567205      0.85571214
      14.1962     -72.6232       44.616197      0.64994096
      14.1966     -72.5069       38.384935      0.74011748
      13.7061     -72.7535       42.516128      0.45333468
      14.4234     -72.6729       51.891573      0.66537860
      14.7291     -72.7102       58.934172      0.71706552
      15.0836     -72.5575       54.405749      0.89374116
      14.6406     -72.5571       48.435770      0.79214425
      14.2280     -72.3870       33.966990      0.84519709
      14.7477     -72.4254       43.767645      0.91029553
      14.6318     -72.3638       39.604503      0.93550001
      14.5056     -72.3494       37.155992      0.92422107
      15.5722     -72.0236       40.549226       1.3852130
      16.0396     -72.1112       47.423255       1.4138936
      15.9935     -72.0379       44.988954       1.4582564
      15.7577     -71.9334       40.171499       1.4927833
      15.6846     -72.0734       43.000823       1.3680523
      15.3158     -72.0476       38.457749       1.3178447
      14.9101     -72.0129       32.939121       1.2775394
      14.8856     -72.0295       33.032480       1.2591602
      15.3913     -71.7101       32.040532       1.6181100
      15.2310     -71.6124       28.869098       1.6814786
      15.2720     -71.6626       30.065780       1.6421593
      15.5160     -71.7800       34.549804       1.5774666
      14.7807     -71.6949       25.509315       1.5453210
      14.7078     -72.0989       32.479645       1.1706819
      15.7560     -72.0573       43.268551       1.3948407
      15.3282     -72.1230       40.632232       1.2593791
      15.8598     -71.8110       38.420734       1.6115168
      15.4018     -72.3394       48.527534       1.1117890
      16.1862     -72.5215       63.053749       1.1918080
      15.9533     -72.6204       65.749330       1.0818614
      15.4598     -72.7010       66.047984      0.91245124
      13.9129     -73.0741       88.555299      0.36179041
      13.8899     -73.1508       100.92491      0.35987266
      14.0281     -73.1006       92.657695      0.39538358
      13.7261     -73.1360       99.719545      0.31008532
      13.9925     -73.0490       84.958564      0.38712592
      13.5212     -72.6581       30.324883      0.49980018
      13.5882     -72.8303       46.384003      0.37278168
      13.9933     -72.8159       55.431240      0.47485666
      14.1505     -72.8479       61.633960      0.49680014
      14.6015     -72.7704       61.589150      0.65256413
